model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc
651,0.480205062,"dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1056.142687,1135.988787,-79.8461001,1122.878679,1044.142687,78.73599204,0.070119768,0.67619238,0.684186781,0.718038976,0.87226439
652,0.494157458,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue",1056.16868,1135.988787,-79.82010738,1133.988787,1046.16868,87.82010738,0.077443541,0.682022894,0.693689062,0.68445,0.864305828
653,0.467510986,"cul_prad_lingue_87,dis_urbano_lingue,dis_plant87_lingue",1056.27087,1135.988787,-79.71791745,1133.988787,1048.27087,85.71791745,0.07558974,0.668473173,0.678499052,0.677325,0.851337808
654,0.480145168,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue",1056.331999,1135.988787,-79.65678862,1133.988787,1048.331999,85.65678862,0.075535834,0.667570358,0.689555299,0.6986125,0.776905109
655,0.484071503,"dis_urbano_lingue,dis_caminos_lingue",1056.351813,1135.988787,-79.63697446,1133.988787,1050.351813,83.63697446,0.073754675,0.672302703,0.681852691,0.667625,0.870215377
656,0.490098265,"dis_comunidades_lingue,dis_urbano_lingue,dis_plant87_lingue",1056.432108,1135.988787,-79.55667897,1133.988787,1048.432108,85.55667897,0.075447553,0.679079296,0.690138151,0.6839,0.862768235
657,0.496254204,"dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_plant87_lingue",1056.512784,1135.988787,-79.47600382,1133.988787,1046.512784,87.47600382,0.077140096,0.681805302,0.69504606,0.68455,0.867492074
658,0.475126793,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_plant87_lingue",1056.737263,1135.988787,-79.2515239,1133.988787,1046.737263,87.2515239,0.07694214,0.663063842,0.690741925,0.69665,0.80057971
659,0.472318028,"mat_lingue_87,dis_comunidades_lingue,dis_hid_lingue,pen_lingue15",1056.789799,1135.988787,-79.19898875,1133.988787,1046.789799,87.19898875,0.076895812,0.672302779,0.690879418,0.7126,0.852453511
660,0.482355215,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_caminos_lingue,dis_hid_lingue",1057.18569,1135.988787,-78.80309767,1133.988787,1043.18569,90.80309767,0.08007407,0.668036512,0.698417633,0.7023,0.760268507
